factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,8,8,True,-0.4632934194657047,-0.5714285714285714,False,0.0,-0.3,,,0.0,False
alpha_body_ratio,8,8,True,-0.66185179603925,-0.5476190476190477,False,0.0,-0.9,,,0.0,False
alpha_compression,8,8,True,0.4351633106047224,0.5,False,0.0,0.1,,,0.0,False
alpha_expand_after_compress,8,8,True,,0.2857142857142857,False,0.0,0.6,,,0.0,False
alpha_hour_norm,8,8,True,0.04108767872512612,0.2857142857142857,False,0.0,-0.4,,,0.0,False
alpha_liq_sweep_bear,8,8,True,0.3326938824701547,0.42857142857142855,False,0.0,0.6,,,0.0,False
alpha_liq_sweep_bull,8,8,True,-0.24609123020962936,0.2857142857142857,False,0.0,0.6,,,0.0,False
alpha_range_position,8,8,True,-0.4502748482252446,-0.23809523809523808,False,0.0,0.1,,,0.0,False
alpha_session_bucket,8,8,True,0.29440612933626453,0.35714285714285715,False,0.0,-0.2,,,0.0,False
alpha_vol_roll_pctile,8,8,True,0.1087049821404894,0.21428571428571427,False,0.0,0.1,,,0.0,False
alpha_wick_lower_ratio,8,8,True,0.3783924439404532,0.5238095238095238,False,0.0,0.8,,,0.0,False
alpha_wick_upper_ratio,8,8,True,0.6283273897670592,0.5714285714285714,False,0.0,0.6,,,0.0,False
raw_atr_expansion,8,8,True,0.377529907445451,0.5714285714285714,False,0.0,0.7,,,0.0,False
raw_candle_structure,8,8,True,-0.66185179603925,-0.5476190476190477,False,0.0,-0.9,,,0.0,False
raw_ema_distance,8,8,True,-0.22929832122273688,-0.30952380952380953,False,0.0,0.0,,,0.0,False
raw_htf_score,8,8,True,,0.2857142857142857,False,0.0,0.6,,,0.0,False
raw_impulse_strength,8,8,True,-0.6768844561865831,-0.6428571428571429,False,0.0,-0.2,,,0.0,False
raw_retest_speed,8,8,True,0.8430614388145953,0.8333333333333334,False,0.0,0.9,,,0.0,False
